type,element,nominaal,upptol,lowtol,gemeten,afwijking,eval
Tol_Diam1,Diam1-Ø25,25.0,0.3,-0.3,24.969,0.031,0
Tol_Dst,Dst-4.5 (D9),4.5,0.5,-0.5,4.478,0.022,0
Tol_Diam1,Diam1-Ø13,13.0,0.2,-0.2,12.973,0.027,0
Tol_Dst,Dst-1 (D15),1.0,0.5,-0.5,1.02,-0.02,0
Tol_Diam1,Diam1-cil 32g7 (D12),32.0,-0.009,-0.034,32.019,-0.019,0
Tol_Cly,Cly-cil 32g7 (D12),0.0,0.03,0.0,-0.012,0.012,0
Tol_Rnd,Rnd-Ø32 G7,0.0,0.03,0.0,-0.005,0.005,0
Tol_Diam1,Diam1-diameter 32 G7,32.0,-0.009,-0.034,32.012,-0.012,0
Tol_Rnd,Rnd-diameter 32 G7,0.0,0.02,0.0,-0.006,0.006,0
Tol_Pos,Pos-Ø13,0.0,0.3,0.0,-0.091,0.091,0
Tol_PosY,PosY-M4,-75.0,0.3,-0.3,-74.968,-0.032,0
Tol_PosZ,PosZ-M4,-137.5,0.5,-0.5,-137.475,-0.025,0
Tol_Dst,Dst-Afstand M4 150mm,150.0,0.5,-0.5,150.082,-0.082,0
Tol_Dst,Dst-63 (B9),63.0,0.15,-0.15,62.987,0.013,0
Tol_Diam1,Diam1-Ø157G7 (A12),157.0,0.054,0.014,156.971,0.029,0
Tol_Diam1,Diam1-Gietwerk tov Ø157,150.0,2.0,0.0,147.988,2.012,2
Tol_Diam1,Diam1-Ø47 (A12),47.0,0.039,0.0,46.983,0.017,0
Tol_Dst,Dst-4.5 (B9),4.5,0.5,-0.5,4.543,-0.043,0
Tol_Dst,Dst-27 (C9),27.0,0.25,-0.25,26.992,0.008,0
Tol_Dst,Dst-16 (C9),16.0,0.5,-0.5,15.938,0.062,0
Tol_Dst,Dst-29 (C9) naar gietwerk,29.0,0.5,-0.5,29.349,-0.349,0
Tol_Pos,Pos-M4 a,0.0,0.3,0.0,-0.024,0.024,0
Tol_Pos,Pos-M4 b,0.0,0.3,0.0,-0.086,0.086,0
Tol_Pos,Pos-M4 c,0.0,0.3,0.0,-0.059,0.059,0
Tol_Pos,Pos-M4 d,0.0,0.3,0.0,-0.119,0.119,0
Tol_Dst,Dst-150 (H12),150.0,1.0,-1.0,149.96,0.04,0
Tol_Dst,Dst-140 (G13),140.0,1.0,-1.0,139.973,0.027,0
Tol_Dst,Dst-69 (F13),69.0,0.5,-0.5,69.012,-0.012,0
Tol_Dst,Dst-30 (G13),30.0,0.5,-0.5,29.98,0.02,0
Tol_Dst,Dst-85.5 (H12),85.5,0.5,-0.5,85.493,0.007,0
Tol_Dst,Dst-130 (K12),130.0,0.2,-0.2,129.974,0.026,0
Tol_Dst,Dst-70 (I10),70.0,0.5,-0.5,69.977,0.023,0
Tol_Dst,Dst-26 (J15),26.0,0.3,-0.3,25.816,0.184,0
Tol_Pos,Pos-M5  (D4),0.0,0.3,0.0,-0.056,0.056,0
Tol_Pos,Pos-M5  (D4),0.0,0.3,0.0,-0.033,0.033,0
Tol_Diam1,Diam1-uitsparing (D3),20.0,1.0,-1.0,20.042,-0.042,0
Tol_PosY,PosY-uitsparing (D3),-52.5,0.2,-0.2,-52.524,0.024,0
Tol_PosZ,PosZ-uitsparing (D3),-142.5,0.5,-0.5,-142.503,0.003,0
Tol_Dst,Dst-Afstand 15mm(D4),15.0,0.5,-0.5,15.006,-0.006,0
Tol_Diam1,Diam1-uitsparing (D3),20.0,1.0,-1.0,20.05,-0.05,0
Tol_PosY,PosY-uitsparing (D3),52.5,0.2,-0.2,52.457,0.043,0
Tol_PosZ,PosZ-uitsparing (D3),-142.5,0.5,-0.5,-142.514,0.014,0
Tol_Dst,Dst-82 (F8),82.0,0.2,-0.2,81.932,0.068,0
Tol_Dst,Dst-18 (G8),18.0,0.8,-0.8,18.043,-0.043,0
Tol_Dst,Dst-11 (F8),11.0,1.0,-1.0,10.999,0.001,0
Tol_Dst,Dst-11.5 (J15),11.5,0.2,-0.2,11.491,0.009,0
Tol_Dst,Dst-211.5 (H15),211.5,0.3,-0.3,211.457,0.043,0
Tol_Dst,Dst-73 (C5),73.0,0.5,-0.5,72.952,0.048,0
Tol_Dst,Dst-pcd Ø165 (E12),165.0,0.3,-0.3,165.035,-0.035,0
Tol_PosZ,PosZ-M4 (E6),-90.0,0.5,-0.5,-89.972,-0.028,0
Tol_Dst,Dst-Afstand 15mm(E6),15.0,0.2,-0.2,15.067,-0.067,0
Tol_PosX,PosX-M4x8  hoek 25° (D5),70.0,0.5,-0.5,70.055,-0.055,0
Tol_AngY,AngY-M4x8  hoek 25° (D5),25.0,0.5,-0.5,25.008,-0.008,0
Tol_PosX,PosX-M4x8  hoek 15° (D6),40.0,0.5,-0.5,40.029,-0.029,0
Tol_AngY,AngY-M4x8  hoek 15° (D6),15.0,0.5,-0.5,15.005,-0.005,0
